"","breath","tgrp"
"1",3,"A"
"2",6,"B"
"3",3,"C"
"4",4,"D"
"5",2,"A"
"6",4,"B"
"7",5,"C"
"8",8,"D"
"9",1,"A"
"10",1,"B"
"11",2,"C"
"12",2,"D"
"13",4,"A"
"14",1,"B"
"15",4,"C"
"16",3,"D"
"17",3,"A"
"18",6,"B"
"19",2,"C"
"20",2,"D"
"21",2,"A"
"22",2,"B"
"23",1,"C"
"24",3,"D"
"25",10,"A"
"26",1,"B"
"27",6,"C"
"28",6,"D"
"29",12,"A"
"30",10,"B"
"31",13,"C"
"32",2,"D"
"33",12,"A"
"34",1,"B"
"35",1,"C"
"36",3,"D"
"37",3,"A"
"38",1,"B"
"39",1,"C"
"40",4,"D"
"41",19,"A"
"42",1,"B"
"43",1,"C"
"44",8,"D"
"45",1,"A"
"46",2,"B"
"47",4,"C"
"48",5,"D"
"49",4,"A"
"50",10,"B"
"51",1,"C"
"52",10,"D"
"53",5,"A"
"54",2,"B"
"55",1,"C"
"56",2,"D"
"57",1,"A"
"58",2,"B"
"59",1,"C"
"60",0,"D"
"61",1,"A"
"62",2,"B"
"63",8,"C"
"64",10,"D"
"65",7,"A"
"66",2,"B"
"67",1,"C"
"68",2,"D"
"69",5,"A"
"70",1,"B"
"71",2,"C"
"72",3,"D"
"73",1,"A"
"74",3,"B"
"75",4,"C"
"76",9,"D"
"77",12,"A"
"78",7,"B"
"79",0,"C"
"80",1,"D"
