"","Butterfat","Breed","Age"
"1",3.74,"Ayrshire","Mature"
"2",4.01,"Ayrshire","2year"
"3",3.77,"Ayrshire","Mature"
"4",3.78,"Ayrshire","2year"
"5",4.1,"Ayrshire","Mature"
"6",4.06,"Ayrshire","2year"
"7",4.27,"Ayrshire","Mature"
"8",3.94,"Ayrshire","2year"
"9",4.11,"Ayrshire","Mature"
"10",4.25,"Ayrshire","2year"
"11",4.44,"Ayrshire","Mature"
"12",4.37,"Ayrshire","2year"
"13",4.25,"Ayrshire","Mature"
"14",3.71,"Ayrshire","2year"
"15",4.08,"Ayrshire","Mature"
"16",3.9,"Ayrshire","2year"
"17",4.41,"Ayrshire","Mature"
"18",4.11,"Ayrshire","2year"
"19",4.37,"Ayrshire","Mature"
"20",3.53,"Ayrshire","2year"
"21",3.92,"Canadian","Mature"
"22",4.95,"Canadian","2year"
"23",4.47,"Canadian","Mature"
"24",4.28,"Canadian","2year"
"25",4.07,"Canadian","Mature"
"26",4.1,"Canadian","2year"
"27",4.38,"Canadian","Mature"
"28",3.98,"Canadian","2year"
"29",4.46,"Canadian","Mature"
"30",5.05,"Canadian","2year"
"31",4.29,"Canadian","Mature"
"32",5.24,"Canadian","2year"
"33",4.43,"Canadian","Mature"
"34",4,"Canadian","2year"
"35",4.62,"Canadian","Mature"
"36",4.29,"Canadian","2year"
"37",4.85,"Canadian","Mature"
"38",4.66,"Canadian","2year"
"39",4.4,"Canadian","Mature"
"40",4.33,"Canadian","2year"
"41",4.54,"Guernsey","Mature"
"42",5.18,"Guernsey","2year"
"43",5.75,"Guernsey","Mature"
"44",5.04,"Guernsey","2year"
"45",4.64,"Guernsey","Mature"
"46",4.79,"Guernsey","2year"
"47",4.72,"Guernsey","Mature"
"48",3.88,"Guernsey","2year"
"49",5.28,"Guernsey","Mature"
"50",4.66,"Guernsey","2year"
"51",5.3,"Guernsey","Mature"
"52",4.5,"Guernsey","2year"
"53",4.59,"Guernsey","Mature"
"54",5.04,"Guernsey","2year"
"55",4.83,"Guernsey","Mature"
"56",4.55,"Guernsey","2year"
"57",4.97,"Guernsey","Mature"
"58",5.38,"Guernsey","2year"
"59",5.39,"Guernsey","Mature"
"60",5.97,"Guernsey","2year"
"61",3.4,"Holstein-Fresian","Mature"
"62",3.55,"Holstein-Fresian","2year"
"63",3.83,"Holstein-Fresian","Mature"
"64",3.95,"Holstein-Fresian","2year"
"65",4.43,"Holstein-Fresian","Mature"
"66",3.7,"Holstein-Fresian","2year"
"67",3.3,"Holstein-Fresian","Mature"
"68",3.93,"Holstein-Fresian","2year"
"69",3.58,"Holstein-Fresian","Mature"
"70",3.54,"Holstein-Fresian","2year"
"71",3.79,"Holstein-Fresian","Mature"
"72",3.66,"Holstein-Fresian","2year"
"73",3.58,"Holstein-Fresian","Mature"
"74",3.38,"Holstein-Fresian","2year"
"75",3.71,"Holstein-Fresian","Mature"
"76",3.94,"Holstein-Fresian","2year"
"77",3.59,"Holstein-Fresian","Mature"
"78",3.55,"Holstein-Fresian","2year"
"79",3.55,"Holstein-Fresian","Mature"
"80",3.43,"Holstein-Fresian","2year"
"81",4.8,"Jersey","Mature"
"82",6.45,"Jersey","2year"
"83",5.18,"Jersey","Mature"
"84",4.49,"Jersey","2year"
"85",5.24,"Jersey","Mature"
"86",5.7,"Jersey","2year"
"87",5.41,"Jersey","Mature"
"88",4.77,"Jersey","2year"
"89",5.18,"Jersey","Mature"
"90",5.23,"Jersey","2year"
"91",5.75,"Jersey","Mature"
"92",5.14,"Jersey","2year"
"93",5.25,"Jersey","Mature"
"94",4.76,"Jersey","2year"
"95",5.18,"Jersey","Mature"
"96",4.22,"Jersey","2year"
"97",5.98,"Jersey","Mature"
"98",4.85,"Jersey","2year"
"99",6.55,"Jersey","Mature"
"100",5.72,"Jersey","2year"
