"","germ","moisture","covered"
"1",22,1,"no"
"2",41,3,"no"
"3",66,5,"no"
"4",82,7,"no"
"5",79,9,"no"
"6",0,11,"no"
"7",25,1,"no"
"8",46,3,"no"
"9",72,5,"no"
"10",73,7,"no"
"11",68,9,"no"
"12",0,11,"no"
"13",27,1,"no"
"14",59,3,"no"
"15",51,5,"no"
"16",73,7,"no"
"17",74,9,"no"
"18",0,11,"no"
"19",23,1,"no"
"20",38,3,"no"
"21",78,5,"no"
"22",84,7,"no"
"23",70,9,"no"
"24",0,11,"no"
"25",45,1,"yes"
"26",65,3,"yes"
"27",81,5,"yes"
"28",55,7,"yes"
"29",31,9,"yes"
"30",0,11,"yes"
"31",41,1,"yes"
"32",80,3,"yes"
"33",73,5,"yes"
"34",51,7,"yes"
"35",36,9,"yes"
"36",0,11,"yes"
"37",42,1,"yes"
"38",79,3,"yes"
"39",74,5,"yes"
"40",40,7,"yes"
"41",45,9,"yes"
"42",0,11,"yes"
"43",43,1,"yes"
"44",77,3,"yes"
"45",76,5,"yes"
"46",62,7,"yes"
"47",NA,9,"yes"
"48",0,11,"yes"
